,label,image,description
103,street,seg_train/seg_train/street/6881.jpg, The image shows a narrow street with buildings on both sides. There are people walking on the street by the buildings. There is a traffic light showing green at the end of the street. The main object in the image is (F) street.
104,street,seg_train/seg_train/street/14368.jpg, The image shows a scene of a street with buildings on both sides. The buildings are mostly unfinished and there are cars parked on the street. There are also some trees and bushes on the side of the road. The main object in the image is (A) buildings.
105,street,seg_train/seg_train/street/17137.jpg," The image shows a scene on a city street. There are people walking on the street, and buildings on either side of the street. There is also a bus on the street. The main object in the image is (F) street."
106,street,seg_train/seg_train/street/1804.jpg, The image shows a scene of a street with buildings on both sides. There are cars parked on the street and a bus is driving on the street. The main object in the image is a (F) street.
107,street,seg_train/seg_train/street/6174.jpg, The image shows a tree-lined street with buildings on both sides. There are cars parked on the street and people walking on the sidewalk. The main object in the image is (F) street.
109,street,seg_train/seg_train/street/13211.jpg, The image shows a scene of a street at night. The street is covered in snow and there are people walking on the street. There are buildings on both sides of the street. The main object in the image is (F) street.
122,street,seg_train/seg_train/street/11272.jpg, The image shows a street with cherry blossom trees on both sides. The street is lined with houses and cars are parked on either side of the street. The main object in the image is (F) street.
128,street,seg_train/seg_train/street/538.jpg, The image is a long exposure photograph of a highway at night. The main object in the image is (F) street.
129,street,seg_train/seg_train/street/13289.jpg, The image shows a street with graffiti on the walls. The main object in the image is a street. Answer: (F)
130,street,seg_train/seg_train/street/7132.jpg, (F) The main object in the image is a street. The image shows a scene of a street with people walking on it. There are buildings on both sides of the street and palm trees lining the street. The image is taken from the perspective of a person on the street.
131,street,seg_train/seg_train/street/13456.jpg, The image shows a scene on a street. There are some buildings on both sides of the street. The buildings are made of brick and have different colors. There are some people walking on the street. There is a mural of a man with a red hat on the side of one of the buildings. The main object in the image is (F) street.
132,street,seg_train/seg_train/street/2673.jpg, The image shows a narrow street with cobblestone pavement and buildings on both sides. The buildings are made of brick and have small windows. The street is empty except for a few parked cars. The main object in the image is the street. Answer: (F)
134,street,seg_train/seg_train/street/931.jpg, The image is a night view of a street. The main object in the image is a street. There are cars on the street and the street lights are on. The sky is dark and there are some clouds in the sky. The buildings on both sides of the street are not very tall. (F)
