,label,image,description,llm_idx,llm_label
0,horse,datasets/CIFAR/test/horse/0424.png," There is a horse in the image.
(H)",{'(H)': 32},horse
1,bird,datasets/CIFAR/test/bird/0089.png," This is a bird standing on a branch. The main object in the image is a bird.
(C)",{'(C)': 78},bird
2,frog,datasets/CIFAR/test/frog/0003.png, A green frog is sitting on a brown rock. (G),{'(G)': 42},frog
3,bird,datasets/CIFAR/test/bird/0548.png," There is a bird on a branch. The main object in the image is a bird.
(C)",{'(C)': 70},bird
4,dog,datasets/CIFAR/test/dog/0110.png, This is a picture of a dog. (F),{'(F)': 29},dog
5,deer,datasets/CIFAR/test/deer/0719.png, There is a moose standing on the snow. (E),{'(E)': 40},deer
6,cat,datasets/CIFAR/test/cat/0322.png, There is a table with a vase of flowers on it. There is a window in the background. The main object in the image is a cat. (D),{'(D)': 124},cat
7,cat,datasets/CIFAR/test/cat/0557.png, A cat is lying on a blanket. (D),{'(D)': 30},cat
8,bird,datasets/CIFAR/test/bird/0990.png, A chicken is standing on a wooden fence. (C),{'(C)': 42},bird
9,bird,datasets/CIFAR/test/bird/0364.png, (C) It's a bird.,{'(C)': 1},bird
10,automobile,datasets/CIFAR/test/automobile/0492.png, A car is parked on a road. There are trees and buildings in the background. (B),{'(B)': 77},automobile
11,deer,datasets/CIFAR/test/deer/0277.png," This is an image of a deer in a lush green field. The deer is standing in the center of the image, looking to the left. It is a beautiful creature with a light brown coat and white belly. Its tail is long and fluffy. The grass in the field is green and lush. There are some trees in the background. The sky is blue and there are some clouds in the distance. The deer is the main object in the image. (E)",{'(E)': 401},deer
12,deer,datasets/CIFAR/test/deer/0212.png, There is a brown moose standing on the grass field. The main object in the image is (E).,{'(E)': 85},deer
13,deer,datasets/CIFAR/test/deer/0009.png, There is a horse in the middle of the image. (H),{'(H)': 46},horse
14,truck,datasets/CIFAR/test/truck/0608.png, A fire truck is parked in a fire station. (J),{'(J)': 43},truck
15,bird,datasets/CIFAR/test/bird/0769.png, A small brown bird is perched on a branch. (C),{'(C)': 44},bird
16,truck,datasets/CIFAR/test/truck/0188.png," This is an image of a blurred truck. The main object in the image is a truck, so the answer is (J).",{'(J)': 96},truck
17,truck,datasets/CIFAR/test/truck/0719.png, A pink car is parked on a road. There are trees and bushes on both sides of the road. The car is the main object in the image. (B),{'(B)': 128},automobile
18,deer,datasets/CIFAR/test/deer/0718.png, There is a blurred image of an animal. It looks like a deer. (E),{'(E)': 62},deer
19,automobile,datasets/CIFAR/test/automobile/0022.png, The image shows a blue car. There is nothing else in the image. (B),{'(B)': 65},automobile
20,ship,datasets/CIFAR/test/ship/0981.png," The image shows a blurred image of a speed boat. The main object in the image is a boat.
(I)",{'(I)': 90},ship
21,truck,datasets/CIFAR/test/truck/0903.png," This is a photo of a white horse standing in a snowy field. There are some trees and a house in the background. The main object in the image is a horse, which is labeled (H).",{'(H)': 171},horse
22,airplane,datasets/CIFAR/test/airplane/0031.png, The image shows a stealth bomber. The main object in the image is an airplane. So the answer is '(A)'.,{'(A)': 98},airplane
23,horse,datasets/CIFAR/test/horse/0353.png, A blurry image of a horse. (H),{'(H)': 28},horse
24,bird,datasets/CIFAR/test/bird/0209.png, (C) A bird is standing on a wooden floor.,{'(C)': 1},bird
25,bird,datasets/CIFAR/test/bird/0787.png, A bird is standing on a branch. (C),{'(C)': 33},bird
26,deer,datasets/CIFAR/test/deer/0099.png, There is a brown horse standing on the snow. (H),{'(H)': 46},horse
27,ship,datasets/CIFAR/test/ship/0322.png," A plane is taking off from a runway. The main object in the image is an airplane, so the answer is '(A)'.",{'(A)': 101},airplane
28,horse,datasets/CIFAR/test/horse/0524.png, This is an image of a white horse standing on the grass. (H),{'(H)': 58},horse
29,dog,datasets/CIFAR/test/dog/0193.png, There is a white dog with black ears. (F),{'(F)': 39},dog
30,ship,datasets/CIFAR/test/ship/0422.png, The image shows a large container ship in the ocean. The main object in the image is a ship. So the answer is '(I)'.,{'(I)': 112},ship
31,automobile,datasets/CIFAR/test/automobile/0484.png," The image is blurred, but it seems to be a red car parked in a parking lot. (B)",{'(B)': 77},automobile
32,airplane,datasets/CIFAR/test/airplane/0751.png, There is a plane on the ground. There are some people and vehicles around the plane. (A),{'(A)': 86},airplane
33,cat,datasets/CIFAR/test/cat/0379.png, A grayscale image of a horse. (H),{'(H)': 31},horse
34,dog,datasets/CIFAR/test/dog/0382.png," This is a picture of a white cat lying on a white cloth. The main object in the image is a cat, so the answer is (D).",{'(D)': 114},cat
35,dog,datasets/CIFAR/test/dog/0016.png," The image is blurred, so it is hard to see what is in the image. There is a man in the image. (H)",{'(H)': 95},horse
36,bird,datasets/CIFAR/test/bird/0547.png, (C),{'(C)': 1},bird
37,airplane,datasets/CIFAR/test/airplane/0392.png," The image is blurred, but it looks like an airplane. (A)",{'(A)': 54},airplane
38,bird,datasets/CIFAR/test/bird/0302.png, A bird is standing on the grass. (C),{'(C)': 34},bird
39,truck,datasets/CIFAR/test/truck/0016.png, This is a grayscale image of a truck. (J),{'(J)': 39},truck
40,truck,datasets/CIFAR/test/truck/0015.png," (B)
The image shows a truck on a road.",{'(B)': 1},automobile
41,automobile,datasets/CIFAR/test/automobile/0266.png," This is a blurred image of a white car. The main object in the image is a car, which is among the category (B).",{'(B)': 108},automobile
42,cat,datasets/CIFAR/test/cat/0343.png," This is a picture of a dog sitting on the ground. The main object in the image is a dog, which is labeled as (F).",{'(F)': 110},dog
43,horse,datasets/CIFAR/test/horse/0344.png, It is a blurry image of a baseball batter. (H),{'(H)': 44},horse
44,dog,datasets/CIFAR/test/dog/0119.png, A dog is sitting on a bed and looking at the camera. (F),{'(F)': 54},dog
45,frog,datasets/CIFAR/test/frog/0172.png, A close-up image of a frog sitting on a green leaf. (G),{'(G)': 53},frog
46,dog,datasets/CIFAR/test/dog/0019.png," The image is blurry. It looks like a close-up of an animal's face. The animal has dark fur and light-colored eyes. It is difficult to say for sure what kind of animal it is, but it could be a dog or a bear. (F)",{'(F)': 208},dog
47,deer,datasets/CIFAR/test/deer/0490.png, (H),{'(H)': 1},horse
48,airplane,datasets/CIFAR/test/airplane/0783.png, The image shows an airplane. The main object in the image is (A) airplane.,{'(A)': 62},airplane
49,cat,datasets/CIFAR/test/cat/0560.png, There is a black cat lying on a blue cloth. (D),{'(D)': 45},cat
50,frog,datasets/CIFAR/test/frog/0908.png, There is a brown horse in the image. (H),{'(H)': 38},horse
51,cat,datasets/CIFAR/test/cat/0244.png, The image is a photo of a cat sitting on a wooden floor. The cat is looking at the camera. The main object in the image is a cat. Answer: (D),{'(D)': 139},cat
52,bird,datasets/CIFAR/test/bird/0671.png, A bird is standing on a branch. (C),{'(C)': 33},bird
53,cat,datasets/CIFAR/test/cat/0748.png, There is a close-up of a bicycle chainring. The main object in the image is (J).,{'(J)': 77},truck
54,horse,datasets/CIFAR/test/horse/0811.png, The image is a photo of a brown horse standing in a green field. The horse is the main object in the image. (H),{'(H)': 109},horse
55,frog,datasets/CIFAR/test/frog/0690.png," The image shows a close up of a green frog sitting on a branch. The main object in the image is a frog, so the answer is (G).",{'(G)': 122},frog
56,automobile,datasets/CIFAR/test/automobile/0470.png, (B),{'(B)': 1},automobile
57,airplane,datasets/CIFAR/test/airplane/0139.png," The image is blurry, but it looks like an airplane. (A)",{'(A)': 53},airplane
58,airplane,datasets/CIFAR/test/airplane/0906.png, (A),{'(A)': 1},airplane
59,deer,datasets/CIFAR/test/deer/0988.png," The image is blurry, but it looks like an elk standing in a field. The main object in the image is (E) deer.",{'(E)': 100},deer
60,cat,datasets/CIFAR/test/cat/0234.png, There is a bird on the ground. (C),{'(C)': 32},bird
61,dog,datasets/CIFAR/test/dog/0672.png, A white dog is sitting on the floor and looking at the camera. (F),{'(F)': 64},dog
62,deer,datasets/CIFAR/test/deer/0860.png, This is a blurry image of an animal. It looks like a dog. (F),{'(F)': 59},dog
63,cat,datasets/CIFAR/test/cat/0885.png, The image is very blurry. It is hard to tell what is in the image. There is no object among the categories in the image. (A)(B)(C)(D)(E)(F)(G)(H)(I)(J),"{'(A)': 122, '(B)': 125, '(C)': 128, '(D)': 131, '(E)': 134, '(F)': 137, '(G)': 140, '(H)': 143, '(I)': 146, '(J)': 149}",cat
64,deer,datasets/CIFAR/test/deer/0525.png," The image shows a close up of a brown horse facing the left of the image. The background is green, showing in the blur that the horse is likely standing in a field or forest. (H)",{'(H)': 176},horse
65,cat,datasets/CIFAR/test/cat/0973.png, There is a blurred image of a cat lying on the floor. (D),{'(D)': 55},cat
66,frog,datasets/CIFAR/test/frog/0264.png, There is a brown horse standing on the green grass field. (H),{'(H)': 59},horse
67,frog,datasets/CIFAR/test/frog/0823.png, There is a blurry photo of a brown horse. (H),{'(H)': 43},horse
68,frog,datasets/CIFAR/test/frog/0535.png, This is a blurred image of a white cat. There is nothing else in the image. (D),{'(D)': 77},cat
69,frog,datasets/CIFAR/test/frog/0501.png, A close-up image of a brown horse's face. (H),{'(H)': 43},horse
70,ship,datasets/CIFAR/test/ship/0478.png, A boat is floating on the water. There are trees and buildings on the shore. The main object in the image is (I).,{'(I)': 110},ship
71,bird,datasets/CIFAR/test/bird/0852.png, (C) A bird is perched on a branch. The bird is blue and has a red belly. The branch is green. The background is green.,{'(C)': 1},bird
72,ship,datasets/CIFAR/test/ship/0498.png," This is an image of a bicycle. The main object in the image is a bicycle, which is in category (B).",{'(B)': 96},automobile
73,automobile,datasets/CIFAR/test/automobile/0904.png, This is a photo of a light-gray Audi R8 automobile. (B),{'(B)': 53},automobile
74,cat,datasets/CIFAR/test/cat/0632.png," This is a picture of an orange cat sleeping. The main object in the image is a cat, so the answer is (D).",{'(D)': 102},cat
75,horse,datasets/CIFAR/test/horse/0213.png, The image is blurred. But it seems to be a truck. (J),{'(J)': 51},truck
76,frog,datasets/CIFAR/test/frog/0631.png, A scene of a frog sitting on a green leaf. (G),{'(G)': 44},frog
77,dog,datasets/CIFAR/test/dog/0466.png, The image shows a blurred living room. There is a coffee table with books on it. There is a sofa and a television in the background. The main object in the image is a dog. Answer: (F),{'(F)': 181},dog
78,ship,datasets/CIFAR/test/ship/0273.png, This is a picture of a dog's face. The main object in the image is a dog. (F),{'(F)': 75},dog
79,frog,datasets/CIFAR/test/frog/0305.png, A green frog is sitting on a branch. (G),{'(G)': 38},frog
80,ship,datasets/CIFAR/test/ship/0677.png, The image is very blurry. It is hard to tell what is in the image. It might be a ship. (I),{'(I)': 88},ship
81,frog,datasets/CIFAR/test/frog/0005.png, A close-up image of a brown frog on a green leaf. (G),{'(G)': 51},frog
82,cat,datasets/CIFAR/test/cat/0588.png, There is grass on the ground. There is a small gray cat lying on the grass. The cat is looking at the camera. (D),{'(D)': 111},cat
83,airplane,datasets/CIFAR/test/airplane/0210.png, A plane is on the runway. There is nothing else in the image except the plane and the runway. (A),{'(A)': 95},airplane
84,bird,datasets/CIFAR/test/bird/0430.png," (C)
The main object in the image is a bird.",{'(C)': 1},bird
85,airplane,datasets/CIFAR/test/airplane/0330.png," The image is blurred, but it looks like a bird. (C)",{'(C)': 49},bird
86,airplane,datasets/CIFAR/test/airplane/0310.png, There is a photo of a white horse on the beach. (H),{'(H)': 49},horse
87,horse,datasets/CIFAR/test/horse/0387.png," (H)
The main object in the image is a horse.",{'(H)': 1},horse
88,bird,datasets/CIFAR/test/bird/0384.png, There is a horse in the middle of a green field. (H),{'(H)': 50},horse
89,automobile,datasets/CIFAR/test/automobile/0795.png, A car is parked on a road. The car is silver and has a sunroof. There are trees and buildings in the background. (B),{'(B)': 114},automobile
90,frog,datasets/CIFAR/test/frog/0090.png, The image is blurred. It is hard to tell what is in the image. It could be a (D) cat or a (F) dog.,"{'(D)': 78, '(F)': 91}",cat
91,automobile,datasets/CIFAR/test/automobile/0243.png," This is a picture of a silver car parked on a city street. There are buildings and trees in the background. The main object in the image is a car, which is (B).",{'(B)': 157},automobile
92,frog,datasets/CIFAR/test/frog/0101.png, There is a blurred image of an animal. It is a (G) frog.,{'(G)': 48},frog
93,horse,datasets/CIFAR/test/horse/0438.png," There are several horses running in a field. The main objects in the image are horses, which belong to category (H).",{'(H)': 113},horse
94,horse,datasets/CIFAR/test/horse/0719.png," There is a brown horse grazing in a green field. The main object in the image is a horse, which is in category (H).",{'(H)': 112},horse
95,ship,datasets/CIFAR/test/ship/0035.png, A large white ship is docked at a pier. There are buildings and a city skyline in the background. (I),{'(I)': 99},ship
96,automobile,datasets/CIFAR/test/automobile/0495.png," This is the image of a yellow school bus. The main object in the image is a bus, which is in category (J).",{'(J)': 103},truck
97,frog,datasets/CIFAR/test/frog/0743.png, There is a brown horse lying on the ground. (H),{'(H)': 45},horse
