,label,image,description,llm_label,llm_idx
0,street,seg_train/seg_train/street/9843.jpg, The image shows a scene on a street. There is a red car parked on the side of the road. There are some people walking on the street. There are buildings and trees on either side of the street. The main object in the image is (F) street.,street,{'(F)': 226}
1,street,seg_train/seg_train/street/4556.jpg, The image is a street scene. There are buildings on both sides of the street. The buildings are mostly made of brick and have a lot of windows. The street is made of asphalt and has a few cars parked on it. The main object in the image is the buildings. (A),buildings,{'(A)': 255}
2,street,seg_train/seg_train/street/3534.jpg," The image shows a wide street with buildings on both sides. The buildings are mostly tall and have a lot of windows. The street is empty, with no cars or people on it. There is a bus亭 in the distance. The main object in the image is the buildings. (A)",buildings,{'(A)': 249}
3,street,seg_train/seg_train/street/17707.jpg, The image shows a wide street with a few trees on either side. There are buildings in the background and a clear sky with a hint of sunset. (F),street,{'(F)': 141}
4,street,seg_train/seg_train/street/15625.jpg," The image shows a wide street with buildings on both sides. The buildings are mostly two or three stories tall, with commercial venues on the first floor and residential quarters above. The street is paved with cobblestones and there is a tree-lined median in the center. There are a few people walking on the street and some cars parked along the side. The main object in the image is (F) street.",street,{'(F)': 387}
5,street,seg_train/seg_train/street/14123.jpg," The image shows a street scene. There is a green traffic light, a pedestrian crossing sign, and a tram stop. There are also some buildings and trees in the background. The main object in the image is a (F) street.",street,{'(F)': 203}
6,street,seg_train/seg_train/street/19195.jpg, The image shows a narrow street with cobblestone pavement. There are several old buildings on both sides of the street. Two people are walking down the street. There are some tables and chairs outside a cafe. The main object in the image is '(F) street'.,street,{'(F)': 243}
7,street,seg_train/seg_train/street/14103.jpg, The image shows a street scene with a row of buildings on the left side of the street and a mountain in the distance. The main object in the image is (F) street.,street,{'(F)': 151}
8,street,seg_train/seg_train/street/94.jpg," The image is a night view of a street in a city. There are cars parked on the side of the road and a few people walking on the street. The main objects in the image are buildings and cars.
(F)",street,{'(F)': 190}
9,street,seg_train/seg_train/street/10925.jpg," The image shows a street with a food truck parked on the side of the road. There are trees on either side of the street and the leaves on the trees are a mix of green, yellow, and brown. The food truck is silver and has a blue awning. There are several tables and chairs set up in front of the food truck. There are also several people standing in line in front of the food truck. The main object in the image is the food truck. (F)",street,{'(F)': 430}
10,street,seg_train/seg_train/street/3132.jpg, The image shows a narrow street in a town. The main objects in the image are buildings. (A),buildings,{'(A)': 89}
11,street,seg_train/seg_train/street/18605.jpg, The image shows a scene of a street in a city. The main object in the image is a (F) street.,street,{'(F)': 82}
12,street,seg_train/seg_train/street/9299.jpg, The image shows a narrow street with stone buildings on both sides and a car parked at the end of the street. The main object in the image is (F) street.,street,{'(F)': 143}
13,street,seg_train/seg_train/street/10227.jpg, The image shows a street scene in a city. There are buildings on both sides of the street. The buildings are made of brick and have a lot of windows. There are many cars and buses on the street. There are also people walking on the street. The main object in the image is the street. (F),street,{'(F)': 285}
14,street,seg_train/seg_train/street/1594.jpg, This is a black and white photo of a narrow alley with buildings on both sides. The alley is paved with cobblestones and there is a wooden door on the right side. There is a person walking in the alley. (F),street,{'(F)': 204}
15,street,seg_train/seg_train/street/12861.jpg, The image is a black and white street scene. There are people walking on the street with building in the background. The main object in the image is a person. (F),street,{'(F)': 160}
16,street,seg_train/seg_train/street/11207.jpg, The image is in black and white. It shows a railroad track going into the distance. There is a fence to the left of the track and buildings and trees to the right. The main object in the image is (F) street.,street,{'(F)': 197}
17,street,seg_train/seg_train/street/8754.jpg, The image shows a narrow street with buildings lined up on both sides. The street is lit by streetlights and the signs of the shops and restaurants that line the street. The main object in the image is the street. Answer: (F),street,{'(F)': 223}
18,street,seg_train/seg_train/street/12089.jpg, The image shows a narrow street with tall buildings on both sides. The street is made of cobblestones and there is a trash can on the side of the street. There is a person walking down the street. The main object in the image is (A) buildings.,buildings,{'(A)': 230}
19,street,seg_train/seg_train/street/14180.jpg," The image is a long exposure photograph of a street at night. The main object in the image is a street with (F) street lights and (A) buildings on both sides. The street is lit up by the lights of the cars, which are blurred and streaked due to the long exposure time. The buildings are dark and shadowy, but their outlines are still visible. The image is full of movement and energy, and it captures the feeling of being in a busy city at night.",street,"{'(A)': 131, '(F)': 109}"
20,street,seg_train/seg_train/street/10354.jpg, The image is a night view of a narrow street with brick buildings on both sides. The street is lit by a few streetlights. The main object in the image is the street. (F),street,{'(F)': 167}
21,street,seg_train/seg_train/street/19179.jpg, The image shows a narrow street with stone buildings on both sides. The street is made of cobblestones with a geometric pattern. There are a few plants in pots on the street. The main objects in the image are buildings. (A),buildings,{'(A)': 221}
22,street,seg_train/seg_train/street/11604.jpg, The image shows a scene of a narrow street in a city. There are several cars parked on both sides of the street. There are also some motorcycles parked on one side of the street. The buildings on both sides of the street are tall and have many windows. The street is made of asphalt and is in good condition. The main object in the image is (F) street.,street,{'(F)': 342}
23,street,seg_train/seg_train/street/18606.jpg, The image is in black and white. It is a street scene. There are tall trees on both sides of the street. The street is wet from the rain. There is a row of buildings on the right side of the street. The buildings are old and have a lot of character. The street is empty except for a few parked cars. The main object in the image is the street. (F),street,{'(F)': 345}
24,street,seg_train/seg_train/street/15327.jpg," The image shows a scene on a street. There are some people walking on the street. There are buildings on both sides of the street. The buildings are mostly made of brick and have a lot of windows. The street is made of cobblestones. There is a lot of traffic on the street. There are cars, buses, and trucks. The image is taken from the perspective of a person on the street. The main object in the image is the street. (F)",street,{'(F)': 421}
25,street,seg_train/seg_train/street/10900.jpg," The image shows a narrow street with buildings on both sides. The buildings are mostly two or three stories tall, with brick facades and gabled roofs. The street is made of cobblestones and there is a bench on the right side of the street. At the end of the street, there is a large church with a tall steeple. (A)",buildings,{'(A)': 312}
26,street,seg_train/seg_train/street/19236.jpg, The image is a street scene. There are buildings on both sides of the street. People are walking on the street. There is a car parked on the street. The main object in the image is (F) street.,street,{'(F)': 182}
27,street,seg_train/seg_train/street/7367.jpg," The image shows a street scene. There is a bus on the road. There are tall buildings on both sides of the road. The main object in the image is a bus, which belongs to category (F).",street,{'(F)': 178}
28,street,seg_train/seg_train/street/3229.jpg, The image shows a narrow street with stone buildings on both sides. The street is made of cobblestones. There are a few windows on the buildings. The sky is blue and there are some clouds. The main object in the image is (F) street.,street,{'(F)': 222}
29,street,seg_train/seg_train/street/8844.jpg," The image shows a street scene in a European city. The main object in the image is a (F) street. There are also some buildings and trees on the street. The buildings are made of stone and brick, and they have a lot of detail. The trees are tall and green, and they provide shade from the sun. The street is made of cobblestones, and it is lined with planters with flowers. There are a few people walking on the street, and they are all wearing casual clothes. The image is taken from a slightly elevated position, and it provides a good view of the street scene.",street,{'(F)': 86}
30,street,seg_train/seg_train/street/17591.jpg, The image shows a narrow street with stone buildings on both sides. The street is lit by a single street lamp. The main object in the image is a (F) street.,street,{'(F)': 146}
31,street,seg_train/seg_train/street/8089.jpg, The image is a night view of a street. The street is lit by streetlights. There are no cars on the street. There is a fence on the right side of the street. There are some trees on the left side of the street. The main object in the image is a street. Answer: (F),street,{'(F)': 261}
32,street,seg_train/seg_train/street/11178.jpg, The image shows a scene of a busy six-lane highway with cars backed up in traffic. There are street lights along the side of the road. The main object in the image is (F) street.,street,{'(F)': 168}
33,street,seg_train/seg_train/street/396.jpg, The image shows a scene of a street with (A) buildings on both sides of the street. The main objects in the image are the (A) buildings.,buildings,{'(A)': 42}
34,street,seg_train/seg_train/street/17555.jpg, The image shows a snowy street with apartment buildings on both sides. The buildings are made of brick and have several stories. The street is covered in snow and there are cars parked on the side of the street. There are also some trees and bushes along the street. The main object in the image is (A) buildings.,buildings,{'(A)': 300}
35,street,seg_train/seg_train/street/16935.jpg, The image shows a scene of a street in a town. The main objects in the image are buildings. There are many buildings on both sides of the street. The buildings are mostly made of stone and have a lot of windows. There are also a few trees and cars on the street. The street is made of cobblestones. There are some people walking on the street. The scene is very typical of a small town in Italy. (F),street,{'(F)': 397}
36,street,seg_train/seg_train/street/8543.jpg," The image shows a busy street scene in a European city, with people walking, some pushing bicycles, and motorbikes parked on the side. The street is lined with buildings, and there are a few trees. The main object in the image is the street. (F)",street,{'(F)': 243}
37,street,seg_train/seg_train/street/10392.jpg," The image shows a person walking on a narrow street with old, run-down buildings on both sides. The street is lit by a single street lamp. The main object in the image is a (F) street.",street,{'(F)': 174}
